sentence_id,sentence,code_switch,all_aspects,all_opinions,valence_scores,arousal_scores
308,national jaleel sab jail mein hai teri mako chod rahe hai kaha se mila ye data bhosdike apne baap modi ko dekh khula ghum raha hai or pm bhi bana hai or gujraat mein kaand karke or galat nai hota to wo time ki report video or google ne 10 pe rakha tha most criminals mein or usa ne banned kiya th,national:EN jaleel:HI sab:HI jail:EN mein:HI hai:HI teri:HI mako:EN chod:HI rahe:HI hai:HI kaha:HI se:HI mila:HI ye:HI data:EN bhosdike:HI apne:HI baap:HI modi:HI ko:HI dekh:HI khula:HI ghum:HI raha:HI hai:HI or:EN pm:EN bhi:HI bana:HI hai:HI or:EN gujraat:HI mein:HI kaand:EN karke:HI or:EN galat:HI nai:HI hota:HI to:HI wo:HI time:EN ki:HI report:EN video:EN or:EN google:EN ne:HI 10:EN pe:HI rakha:HI tha:HI most:EN criminals:EN mein:HI or:EN usa:EN ne:HI banned:EN kiya:HI th:HI,{pm; modi},{bana hai; khula ghum raha hai or pm bhi bana hai},{0.300; 0.200},{0.850; 0.900}
309,itni jaldi tweet kar dia apne purane record ke hisab se ek week baad tweet karte aur neeraj ki jagah neerja ko wish karte,itni:HI jaldi:HI tweet:EN kar:HI dia:EN apne:HI purane:HI record:EN ke:HI hisab:HI se:HI ek:HI week:EN baad:HI tweet:EN karte:HI aur:HI neeraj:HI ki:HI jagah:HI neerja:HI ko:HI wish:EN karte:HI,{tweet},{itni jaldi tweet kar dia},{0.150},{0.700}
310,yhi confidence apne relatives ke saamne plis,yhi:HI confidence:EN apne:HI relatives:EN ke:HI saamne:HI plis:EN,{confidence},{yhi confidence apne relatives ke saamne plis},{0.200},{0.700}
311,mujhe unfollow karoge fir meri yaad me pal pal maroge apne tl se hataa ke mujhe meri hi yaad me aahe bharoge,mujhe:HI unfollow:HI karoge:HI fir:HI meri:HI yaad:HI me:HI pal:EN pal:EN maroge:HI apne:HI tl:EN se:HI hataa:HI ke:HI mujhe:HI meri:HI hi:HI yaad:HI me:HI aahe:HI bharoge:HI,{unfollow},{meri yaad me pal pal maroge},{0.731},{0.563}
312,tu apne friend ko bata da phir on dono ko mujce mila da we want ipzn2,tu:HI apne:HI friend:EN ko:HI bata:HI da:HI phir:HI on:EN dono:HI ko:HI mujce:HI mila:HI da:HI we:EN want:EN ipzn2:HI,{friend; ipzn2},{bata da phir on dono ko mujce mila da; we want ipzn2},{0.525; 0.676},{0.450; 0.663}
313,logo ka pta ni pr mujhe apne mu pr naak hi nazar ati,logo:EN ka:HI pta:HI ni:HI pr:EN mujhe:HI apne:HI mu:HI pr:EN naak:HI hi:HI nazar:HI ati:HI,{mu},{naak hi nazar ati},{0.642},{0.548}
314,lol look who is taking the so called relegion of peace are oh aunty zara shakal dekho apne,lol:HI look:EN who:EN is:EN taking:EN the:EN so:EN called:EN relegion:HI of:EN peace:EN are:EN oh:EN aunty:EN zara:HI shakal:HI dekho:HI apne:HI,{religion; aunty},{taking the so called relegion of peace; zara shakal dekho apne},{0.100; 0.050},{0.750; 0.800}
315,all players should come together and tell to media about the struggle and truth of infrastructure and facilities they got while preparing for olympics credit lene sab aa gaye we all know gaon se nikle players sirf iss liye khelte taki apne desh aur apne gaon ke liye kuch kar sake,all:EN players:EN should:EN come:EN together:EN and:EN tell:EN to:EN media:EN about:EN the:EN struggle:EN and:EN truth:EN of:EN infrastructure:EN and:EN facilities:EN they:EN got:EN while:EN preparing:EN for:EN olympics:EN credit:EN lene:HI sab:HI aa:HI gaye:HI we:EN all:EN know:EN gaon:HI se:HI nikle:HI players:EN sirf:HI iss:HI liye:HI khelte:HI taki:HI apne:HI desh:HI aur:HI apne:HI gaon:HI ke:HI liye:HI kuch:HI kar:HI sake:HI,{infrastructure; facilities; credit; players},{struggle and truth of infrastructure and facilities they got; struggle and truth of infrastructure and facilities they got; credit lene sab aa gaye; gaon se nikle players sirf iss liye khelte taki apne desh aur apne gaon ke liye kuch kar sake},{0.393; 0.393; 0.250; 0.670},{0.604; 0.604; 0.700; 0.587}
316,and cheekne chillane se jhooth sach me nahi badalta apka ye dhong janta jan chuki hai phle apne menifesto m isi 3 bills ko shi bttate ho or bad m inhi ka virodh krte ho kislie sirf ochii rajnneti krne k lie lekin tum delhi se bhar na jeet pao,and:EN cheekne:HI chillane:HI se:HI jhooth:HI sach:HI me:HI nahi:HI badalta:HI apka:HI ye:HI dhong:HI janta:HI jan:HI chuki:HI hai:HI phle:HI apne:HI menifesto:HI m:EN isi:HI 3:EN bills:EN ko:HI shi:HI bttate:HI ho:HI or:EN bad:EN m:EN inhi:HI ka:HI virodh:HI krte:HI ho:HI kislie:HI sirf:HI ochii:HI rajnneti:HI krne:HI k:HI lie:EN lekin:HI tum:HI delhi:EN se:HI bhar:HI na:HI jeet:HI pao:HI,{dhong; menifesto; rajnneti},{cheekne chillane se jhooth sach me nahi badalta apka ye dhong janta jan chuki hai; phle apne menifesto m isi 3 bills ko shi bttate ho or bad m inhi ka virodh krte ho; kislie sirf ochii rajnneti krne k lie},{0.050; 0.138; 0.115},{0.850; 0.662; 0.762}
317,pk jaisa theek lagta hai karen sabhi apne ichha se kaam karne ke liye swatantra hain main aagrah kar sakta hun dawab nahin dal sakta lekin main to industrialization in bihar ke liye baar baar likhta rahunga akele bhi chalna pade to chalunga lekin udyog lagane ki wakalat karunga,pk:EN jaisa:HI theek:HI lagta:HI hai:HI karen:HI sabhi:HI apne:HI ichha:HI se:HI kaam:HI karne:HI ke:HI liye:HI swatantra:HI hain:HI main:HI aagrah:HI kar:HI sakta:HI hun:HI dawab:HI nahin:HI dal:HI sakta:HI lekin:HI main:HI to:HI industrialization:EN in:EN bihar:HI ke:HI liye:HI baar:HI baar:HI likhta:HI rahunga:HI akele:HI bhi:HI chalna:HI pade:HI to:HI chalunga:HI lekin:HI udyog:HI lagane:HI ki:HI wakalat:HI karunga:HI,{udyog},{wakalat karunga},{0.800},{0.700}
318,sahi kaha apne brother congress sarkar ke 70 saal ke period mein ek bhi gunda nhi tha sab itne kitne khush the or charon taraf jobs bhi thi log bahut rich hua karte the roads bhi silver ki thi and everywhere there was prosperity but modi sarkar mein sab barbad ho gaye,sahi:HI kaha:HI apne:HI brother:EN congress:EN sarkar:HI ke:HI 70:EN saal:HI ke:HI period:EN mein:HI ek:HI bhi:HI gunda:HI nhi:HI tha:HI sab:HI itne:HI kitne:HI khush:HI the:HI or:EN charon:HI taraf:HI jobs:EN bhi:HI thi:HI log:HI bahut:HI rich:EN hua:HI karte:HI the:HI roads:EN bhi:HI silver:EN ki:HI thi:HI and:EN everywhere:EN there:EN was:EN prosperity:EN but:EN modi:HI sarkar:HI mein:HI sab:HI barbad:HI ho:HI gaye:HI,{sarkar; sarkar},{ek bhi gunda nhi tha sab itne kitne khush the or charon taraf jobs bhi thi log bahut rich hua karte the roads bhi silver ki thi and everywhere there was prosperity; sab barbad ho gaye},{0.150; 0.100},{0.850; 0.700}
319,bhaiya ji app rehne do politics mei apka tab pta chl gya tha jab aaap silent the gov ko question krne k bjaye chaatne ki klla full kri apne i m your viewer i usually don t care about ur political view but u r one sided,bhaiya:HI ji:HI app:EN rehne:HI do:HI politics:EN mei:HI apka:HI tab:HI pta:HI chl:HI gya:HI tha:HI jab:HI aaap:HI silent:EN the:EN gov:EN ko:HI question:EN krne:HI k:HI bjaye:HI chaatne:HI ki:HI klla:HI full:EN kri:EN apne:HI i:EN m:EN your:EN viewer:EN i:EN usually:EN don:EN t:EN care:EN about:EN ur:EN political:EN view:EN but:EN u:EN r:EN one:EN sided:EN,{politics; political view},{tab pta chl gya tha jab aaap silent the gov ko question krne k bjaye chaatne ki klla full kri apne; one sided},{0.273; 0.310},{0.588; 0.548}
320,apne jo accha lge whi krna chahie that s a good attitude,apne:HI jo:HI accha:HI lge:HI whi:EN krna:HI chahie:HI that:EN s:EN a:EN good:EN attitude:EN,{attitude},{that s a good attitude},{0.791},{0.508}
321,indo apne purvajo k religion ko follow kr k unki aatmaao ko saanti de sako sab aap log to bahot badhiya kab tak dusre religion ka bhaar dhote rahoge,indo:EN apne:HI purvajo:HI k:HI religion:EN ko:HI follow:EN kr:EN k:HI unki:HI aatmaao:HI ko:HI saanti:HI de:HI sako:HI sab:HI aap:HI log:HI to:HI bahot:HI badhiya:HI kab:HI tak:HI dusre:HI religion:EN ka:HI bhaar:HI dhote:EN rahoge:HI,{religion},{apne purvajo k religion ko follow kr k unki aatmaao ko saanti de sako sab aap log to bahot badhiya kab tak dusre religion ka bhaar dhote rahoge},{0.150},{0.800}
322,ind tera chacha tahir hussain kyu band hai tihar jail mein tum logo ki dikkat yahi hai apne kaum ke galat logo ka bhi support karte ho isiliye tum logo se kuch bhi len den karna theek nahi kyuki kabhi bhi muuh uthakar bol doge muslim par atyachar ho raha hai is desh mein,ind:EN tera:HI chacha:HI tahir:HI hussain:HI kyu:HI band:HI hai:HI tihar:HI jail:EN mein:HI tum:HI logo:EN ki:HI dikkat:HI yahi:HI hai:HI apne:HI kaum:EN ke:HI galat:HI logo:EN ka:HI bhi:HI support:EN karte:HI ho:HI isiliye:HI tum:HI logo:EN se:HI kuch:HI bhi:HI len:HI den:EN karna:HI theek:HI nahi:HI kyuki:HI kabhi:HI bhi:HI muuh:HI uthakar:HI bol:HI doge:HI muslim:EN par:HI atyachar:HI ho:HI raha:HI hai:HI is:HI desh:HI mein:HI,{kaum},{galat logo ka bhi support karte ho},{0.345},{0.617}
323,yogendrayadav sab thik tha yogendrayadav ji ye rascist comment krna jroori tha kya isme ya apne buddhijivi hone ka sara proof iss kavita mai he dena jroori tha had ho gyii yr,yogendrayadav:HI sab:HI thik:HI tha:HI yogendrayadav:HI ji:HI ye:HI rascist:HI comment:EN krna:HI jroori:HI tha:HI kya:HI isme:HI ya:HI apne:HI buddhijivi:HI hone:HI ka:HI sara:HI proof:EN iss:HI kavita:HI mai:HI he:HI dena:HI jroori:HI tha:HI had:EN ho:HI gyii:HI yr:EN,{comment; kavita},{rascist comment krna jroori tha kya; buddhijivi hone ka sara proof iss kavita mai he dena jroori tha had ho gyii yr},{0.120; 0.150},{0.780; 0.820}
324,giving me shivers allah hamari behn betiyin ko apne aman me rakh ameen suma ameen,giving:EN me:EN shivers:EN allah:HI hamari:HI behn:HI betiyin:HI ko:HI apne:HI aman:HI me:HI rakh:HI ameen:HI suma:HI ameen:HI,{dua},{giving me shivers allah hamari behn betiyin ko apne aman me rakh ameen suma ameen},{0.823},{0.541}
325,2 baaten unhe apne isis brothers ka v suna deena sayad kal unme se koi bada hooke kasab adil ahmad dar ya burhan wani jese naam kare,2:EN baaten:HI unhe:HI apne:HI isis:EN brothers:EN ka:HI v:EN suna:HI deena:HI sayad:HI kal:HI unme:HI se:HI koi:HI bada:HI hooke:EN kasab:HI adil:HI ahmad:HI dar:HI ya:HI burhan:EN wani:HI jese:HI naam:HI kare:HI,{isis brothers},{isis brothers ka v suna deena sayad kal unme se koi bada hooke kasab adil ahmad dar ya burhan wani jese naam kare},{0.275},{0.700}
326,koye apne pyare hathon sey chai shai hii pilla do,koye:EN apne:HI pyare:HI hathon:HI sey:HI chai:HI shai:EN hii:EN pilla:EN do:EN,{chai},{pyare hathon sey chai shai hii pilla do},{0.693},{0.481}
327,bhai bhagwaan ne tujhe achi popularity di hai biggboss ke baad ye aise baar baar apne songs ki promotions ke liye bhikmanga mat ban jaaya kar aisa lagta hai tu darrta hai kahin teri fan following naa zero ho jaaye,bhai:HI bhagwaan:HI ne:HI tujhe:HI achi:HI popularity:EN di:HI hai:HI biggboss:HI ke:HI baad:HI ye:HI aise:HI baar:HI baar:HI apne:HI songs:EN ki:HI promotions:EN ke:HI liye:HI bhikmanga:HI mat:HI ban:HI jaaya:HI kar:HI aisa:HI lagta:HI hai:HI tu:HI darrta:HI hai:HI kahin:HI teri:HI fan:EN following:EN naa:HI zero:EN ho:HI jaaye:HI,{songs; fan following},{baar baar apne songs ki promotions ke liye bhikmanga mat ban jaaya kar; kahin teri fan following naa zero ho jaaye},{0.226; 0.441},{0.603; 0.565}
328,14 16 par 20 nahi banae balke 20 balls par 14 runs banaye aur issi tarah 20 balls par 16 runs banaye aur secondly apne kaha duniya ke konse hitters aise khelte is liye khushdil ka bata raha,14:EN 16:EN par:HI 20:EN nahi:HI banae:HI balke:HI 20:EN balls:EN par:HI 14:EN runs:EN banaye:HI aur:HI issi:HI tarah:HI 20:EN balls:EN par:HI 16:EN runs:EN banaye:HI aur:HI secondly:EN apne:HI kaha:HI duniya:HI ke:HI konse:HI hitters:EN aise:HI khelte:HI is:HI liye:HI khushdil:HI ka:HI bata:HI raha:HI,{batting; khiladi},{14 16 par 20 nahi banae balke 20 balls par 14 runs banaye; duniya ke konse hitters aise khelte is liye khushdil ka bata raha},{0.383; 0.350},{0.511; 0.600}
329,india bhardwaj 16 guru toh kya ab apne ko inferior bolkar rona shuru kardein ki humare bass ki kuch nhi bakwas karne ke ilava toh plz reservation dedo hume bas ved puran padhte hain fir bhi bakiyon ki halat kharab rehti h ki reservation chla gya toh hum kya karenge,india:EN bhardwaj:HI 16:EN guru:HI toh:HI kya:HI ab:HI apne:HI ko:HI inferior:EN bolkar:HI rona:HI shuru:HI kardein:HI ki:HI humare:HI bass:HI ki:HI kuch:HI nhi:HI bakwas:HI karne:HI ke:HI ilava:HI toh:HI plz:EN reservation:EN dedo:HI hume:HI bas:HI ved:HI puran:HI padhte:HI hain:HI fir:HI bhi:HI bakiyon:HI ki:HI halat:HI kharab:HI rehti:HI h:EN ki:HI reservation:EN chla:HI gya:HI toh:HI hum:HI kya:HI karenge:HI,{reservation},{reservation dedo hume bas ved puran padhte hain fir bhi bakiyon ki halat kharab rehti h ki reservation chla gya toh hum kya karenge},{0.398},{0.557}
330,supreme court ne apne desh ke hit mein faisla diya hai aur jaanch ki baat kahi hai p justicefortraders,supreme:EN court:EN ne:HI apne:HI desh:HI ke:HI hit:EN mein:HI faisla:HI diya:HI hai:HI aur:HI jaanch:HI ki:HI baat:HI kahi:HI hai:HI p:EN justicefortraders:HI,{faisla; jaanch},{desh ke hit mein faisla diya hai; jaanch ki baat kahi hai},{0.609; 0.750},{0.642; 0.500}
331,phr bhi hm sb chahte h inko apne pass pass we want sarlu nd ginni pls come back we want ipzn2,phr:EN bhi:HI hm:HI sb:EN chahte:HI h:EN inko:HI apne:HI pass:EN pass:EN we:EN want:EN sarlu:HI nd:EN ginni:EN pls:EN come:EN back:EN we:EN want:EN ipzn2:HI,{sarlu nd ginni; ipzn2},{come back; we want},{0.667; 0.726},{0.505; 0.663}
332,isliye yehi badi hai are to riste me koi hogi bihata ki nahi ab chhodo ye sab dhode din ke liye ladki ko apne ghar le jaiye aaega baad me lene ladka aur ladki ko samjhaiye meri bahan video dekh rahi thi main chali gai room me mai dekhi bhag ke bahar aagai chhi didi kya dekh rahi,isliye:HI yehi:HI badi:HI hai:HI are:EN to:EN riste:HI me:HI koi:HI hogi:HI bihata:HI ki:HI nahi:HI ab:HI chhodo:HI ye:HI sab:HI dhode:HI din:HI ke:HI liye:HI ladki:HI ko:HI apne:HI ghar:HI le:HI jaiye:HI aaega:HI baad:HI me:HI lene:HI ladka:HI aur:HI ladki:HI ko:HI samjhaiye:HI meri:HI bahan:HI video:EN dekh:HI rahi:HI thi:HI main:HI chali:HI gai:HI room:EN me:HI mai:HI dekhi:HI bhag:HI ke:HI bahar:HI aagai:HI chhi:HI didi:HI kya:HI dekh:HI rahi:HI,{video},{chhi didi kya dekh rahi},{0.150},{0.700}
333,le hamare yha ek case hua tha jha ek ladki ne suhag raat ke din pida marke apne pati ka sir phod di thi baad me pta chala usko kuch pta nhi tha wo mna kar rahi thi to pati ko lga sarma rahi hai nakhre kar rahi hai sun nahi rha tha usne pit di dna dan sasural wale mayke walon ko,le:HI hamare:HI yha:HI ek:HI case:EN hua:HI tha:HI jha:HI ek:HI ladki:HI ne:HI suhag:HI raat:HI ke:HI din:HI pida:HI marke:HI apne:HI pati:HI ka:HI sir:EN phod:HI di:HI thi:HI baad:HI me:HI pta:HI chala:HI usko:HI kuch:HI pta:HI nhi:HI tha:HI wo:HI mna:HI kar:HI rahi:HI thi:HI to:HI pati:HI ko:HI lga:HI sarma:EN rahi:HI hai:HI nakhre:HI kar:HI rahi:HI hai:HI sun:HI nahi:HI rha:HI tha:HI usne:HI pit:EN di:HI dna:EN dan:EN sasural:HI wale:HI mayke:HI walon:HI ko:HI,{case},{suhag raat ke din pida marke apne pati ka sir phod di thi},{0.316},{0.606}
334,codes share sir aap apne decision k khud jimedar ho companies pdhke buy kiya kro m ek sal se juda hoon sir k sath agar apko conviction hota h company pr tb hi buy kro wrna mat kro jo company mere paimane pe shi utarti h m vhi buy krta hoon,codes:EN share:EN sir:EN aap:HI apne:HI decision:EN k:HI khud:HI jimedar:HI ho:HI companies:EN pdhke:HI buy:EN kiya:HI kro:HI m:EN ek:HI sal:HI se:HI juda:HI hoon:HI sir:EN k:HI sath:HI agar:HI apko:HI conviction:EN hota:HI h:EN company:EN pr:EN tb:EN hi:HI buy:EN kro:HI wrna:HI mat:HI kro:HI jo:HI company:EN mere:HI paimane:HI pe:HI shi:HI utarti:HI h:EN m:EN vhi:HI buy:EN krta:HI hoon:HI,{decision; company},{aap apne decision k khud jimedar ho; jo company mere paimane pe shi utarti h m vhi buy krta hoon},{0.573; 0.696},{0.530; 0.461}
335,tum log apne leader samet zillat se hi jeo ghe aur zillat se hi marro ghe ye tumarib qismat ha insha allah,tum:HI log:HI apne:HI leader:EN samet:HI zillat:HI se:HI hi:HI jeo:EN ghe:EN aur:HI zillat:HI se:HI hi:HI marro:HI ghe:EN ye:HI tumarib:HI qismat:HI ha:HI insha:EN allah:HI,{leader},{zillat se hi jeo ghe aur zillat se hi marro ghe ye tumarib qismat ha},{0.442},{0.823}
336,rkv things slays same even i had good vibes from eijaz but baadme chicha irritate karne lage aur apne champ ne jo dhamaka kia sab dekhte reh gaye,rkv:EN things:EN slays:HI same:EN even:EN i:EN had:EN good:EN vibes:EN from:EN eijaz:EN but:EN baadme:HI chicha:EN irritate:EN karne:HI lage:HI aur:HI apne:HI champ:EN ne:HI jo:HI dhamaka:HI kia:HI sab:HI dekhte:HI reh:HI gaye:HI,{rkv things; eijaz; champ},{slays same; baadme chicha irritate karne lage; jo dhamaka kia sab dekhte reh gaye},{0.628; 0.183; 0.900},{0.465; 0.745; 0.800}
337,neta rally mein bola bharatmatakijai election jeetne ke liye jab khiladi khele aur jeeta to poora bharat apne aap bola bharatmatakijai ye pharak hai dono mein olympics champions tokyo2020 paris2024 if you want pure emotion become a sports person jaihind,neta:HI rally:EN mein:HI bola:HI bharatmatakijai:HI election:EN jeetne:HI ke:HI liye:HI jab:HI khiladi:HI khele:HI aur:HI jeeta:HI to:HI poora:HI bharat:HI apne:HI aap:HI bola:HI bharatmatakijai:HI ye:HI pharak:HI hai:HI dono:HI mein:HI olympics:EN champions:EN tokyo2020:HI paris2024:HI if:EN you:EN want:EN pure:EN emotion:EN become:EN a:EN sports:EN person:EN jaihind:EN,{neta; khiladi},{rally mein bola bharatmatakijai election jeetne ke liye; khele aur jeeta to poora bharat apne aap bola bharatmatakijai},{0.200; 0.700},{0.700; 0.650}
338,for all so called ahle hadith apne shaykh ko defend krne aur mjhe bura bhala bolne se pahle shaykh ibn baaz ka fatwa dekh lo,for:EN all:EN so:EN called:EN ahle:EN hadith:EN apne:HI shaykh:HI ko:HI defend:EN krne:HI aur:HI mjhe:HI bura:HI bhala:HI bolne:HI se:HI pahle:HI shaykh:EN ibn:EN baaz:HI ka:HI fatwa:HI dekh:HI lo:HI,{shaykh},{apne shaykh ko defend krne aur mjhe bura bhala bolne se pahle shaykh ibn baaz ka fatwa dekh lo},{0.499},{0.686}
339,m 24 tum jaise mere bhai ho bhi nahi sakte raam ka name lekr lymching krte ho genocide ki planning karte ho ab lynching mat krwa dena apne bhakt sathiyo ke sath raam raam chillakr tum or tumhare jaise na izzat dena jante na izzat deserve krte,m:EN 24:EN tum:HI jaise:HI mere:HI bhai:HI ho:HI bhi:HI nahi:HI sakte:HI raam:HI ka:HI name:EN lekr:HI lymching:HI krte:HI ho:HI genocide:EN ki:HI planning:EN karte:HI ho:HI ab:HI lynching:EN mat:HI krwa:HI dena:HI apne:HI bhakt:HI sathiyo:HI ke:HI sath:HI raam:HI raam:HI chillakr:HI tum:HI or:EN tumhare:HI jaise:HI na:HI izzat:HI dena:HI jante:HI na:HI izzat:HI deserve:EN krte:HI,{bhakt},{lynching mat krwa dena apne bhakt sathiyo ke sath},{0.174},{0.710}
340,pipal hamare liye ek mamuli ped nahi pipal ka ped hamare liye devta k saman h aur bhala apne devta ko koi kaise kaat sakta h jai sri ram jai sanatan dharm,pipal:HI hamare:HI liye:HI ek:HI mamuli:HI ped:HI nahi:HI pipal:HI ka:HI ped:HI hamare:HI liye:HI devta:HI k:HI saman:HI h:EN aur:HI bhala:HI apne:HI devta:HI ko:HI koi:HI kaise:HI kaat:HI sakta:HI h:EN jai:HI sri:HI ram:EN jai:HI sanatan:HI dharm:HI,{pipal; pipal ka ped},{ek mamuli ped nahi; devta k saman h},{0.850; 0.950},{0.400; 0.550}
341,jo apne post ya bio m likhte h love me or hate btw not change me kyu ki tm beshram the beshram ho or beshram hi rhoge be b cd,jo:HI apne:HI post:EN ya:HI bio:EN m:EN likhte:HI h:EN love:EN me:EN or:EN hate:EN btw:EN not:EN change:EN me:HI kyu:HI ki:HI tm:EN beshram:HI the:EN beshram:HI ho:HI or:EN beshram:HI hi:HI rhoge:HI be:EN b:EN cd:EN,{post; bio; beshram},{jo apne post ya bio m likhte h love me or hate btw not change me; jo apne post ya bio m likhte h love me or hate btw not change me; tm beshram the beshram ho or beshram hi rhoge},{0.150; 0.150; 0.442},{0.750; 0.750; 0.798}
342,kisay hai khuwahish e marham giri magar phir b main apne zakhm dikha loon agr ijazat ho,kisay:HI hai:HI khuwahish:HI e:EN marham:HI giri:HI magar:HI phir:HI b:EN main:HI apne:HI zakhm:HI dikha:HI loon:EN agr:HI ijazat:HI ho:HI,{zakhm},{apne zakhm dikha loon},{0.389},{0.421}
343,sony walo humne tracker lga liya h apne andar app pr nazar h humari plz show dedo we want ipzn2,sony:EN walo:HI humne:HI tracker:EN lga:HI liya:HI h:EN apne:HI andar:HI app:EN pr:EN nazar:HI h:EN humari:HI plz:EN show:EN dedo:HI we:EN want:EN ipzn2:HI,{app; show},{nazar h humari; plz show dedo},{0.450; 0.514},{0.550; 0.629}
344,ye kesa pm h jo apne desh k logo k liye healthy anaj bhi nhi available kra pa rha h or apne advt m desh k logo ka paisa waist kiye ja rha h nhi sambhal rha h desh to kursi s utar kyu nhi jate ho 1947 m le jakr hi manoge kya utaro kursi s,ye:HI kesa:HI pm:EN h:EN jo:HI apne:HI desh:HI k:HI logo:EN k:HI liye:HI healthy:EN anaj:HI bhi:HI nhi:HI available:EN kra:HI pa:HI rha:HI h:EN or:EN apne:HI advt:HI m:EN desh:HI k:HI logo:EN ka:HI paisa:HI waist:EN kiye:HI ja:HI rha:HI h:EN nhi:HI sambhal:HI rha:HI h:EN desh:HI to:EN kursi:HI s:EN utar:HI kyu:HI nhi:HI jate:HI ho:HI 1947:EN m:EN le:HI jakr:HI hi:HI manoge:HI kya:HI utaro:HI kursi:HI s:EN,{pm; advt; kursi},{kesa pm h jo apne desh k logo k liye healthy anaj bhi nhi available kra pa rha h; desh k logo ka paisa waist kiye ja rha h; nhi sambhal rha h desh to kursi s utar kyu nhi jate ho},{0.415; 0.278; 0.300},{0.537; 0.586; 0.675}
345,tum jaise log pichle 1000 varsho islamic terrorism nhi bol paye jo hindu apne equal rights ke liye bol rahe hain tum unhen saffron terrorist bol rahi ho wah wah wah hail secularism,tum:HI jaise:HI log:HI pichle:HI 1000:EN varsho:HI islamic:EN terrorism:EN nhi:HI bol:HI paye:HI jo:HI hindu:EN apne:HI equal:EN rights:EN ke:HI liye:HI bol:HI rahe:HI hain:HI tum:HI unhen:HI saffron:EN terrorist:EN bol:HI rahi:HI ho:HI wah:HI wah:HI wah:HI hail:EN secularism:EN,{secularism; tum; hindu},{hail secularism; pichle 1000 varsho islamic terrorism nhi bol paye; apne equal rights ke liye bol rahe hain},{0.150; 0.190; 0.691},{0.750; 0.693; 0.289}
346,123 nimbu paani pilane gaya hoga surya apne bjym karyakarta k saath,123:EN nimbu:HI paani:HI pilane:HI gaya:HI hoga:HI surya:HI apne:HI bjym:EN karyakarta:EN k:HI saath:HI,{surya; karyakarta},{nimbu paani pilane gaya hoga; nimbu paani pilane gaya hoga},{0.150; 0.150},{0.750; 0.750}
347,wo bahut hi yogya or shalin insan rahe hai onke sanghars ka prtychh darshi raha hu wo apne chhote bhai k liye mai bjp k varisht netao se anurodh karunga ki onko onka haq de kr sammanit kiya jaye,wo:HI bahut:HI hi:HI yogya:HI or:EN shalin:HI insan:HI rahe:HI hai:HI onke:HI sanghars:HI ka:HI prtychh:HI darshi:HI raha:HI hu:HI wo:HI apne:HI chhote:HI bhai:HI k:HI liye:HI mai:HI bjp:EN k:HI varisht:HI netao:HI se:HI anurodh:HI karunga:HI ki:HI onko:HI onka:HI haq:HI de:HI kr:EN sammanit:HI kiya:HI jaye:HI,{insan; sanghars; netao},{bahut hi yogya or shalin; prtychh darshi raha hu; anurodh karunga ki onko onka haq de kr sammanit kiya jaye},{0.877; 0.650; 0.850},{0.573; 0.400; 0.550}
348,chopra1 sai jo physically fit hai jnke physical conduct krwaye jaye please jab apne fake corona report wale bacho ko vhance dia to hume bhi milna chahie hmne to genuine medical lga rakha hai delhipolicemedicalphysical,chopra1:HI sai:HI jo:HI physically:EN fit:EN hai:HI jnke:HI physical:EN conduct:EN krwaye:HI jaye:HI please:EN jab:HI apne:HI fake:EN corona:EN report:EN wale:HI bacho:HI ko:HI vhance:HI dia:EN to:HI hume:HI bhi:HI milna:HI chahie:HI hmne:HI to:HI genuine:EN medical:EN lga:HI rakha:HI hai:HI delhipolicemedicalphysical:HI,{physical conduct; fake corona report; medical},{krwaye jaye please; vhance dia; genuine lga rakha hai},{0.484; 0.150; 0.738},{0.509; 0.750; 0.425}
349,ham sab log chhoti credit ko support karenge to apne india ko support karenge bus yahi soch kar hamen india ke chhote traders ko support karna hai justicefortraders,ham:HI sab:HI log:HI chhoti:HI credit:EN ko:HI support:EN karenge:HI to:HI apne:HI india:EN ko:HI support:EN karenge:HI bus:EN yahi:HI soch:HI kar:HI hamen:HI india:EN ke:HI chhote:HI traders:EN ko:HI support:EN karna:HI hai:HI justicefortraders:HI,{chhoti credit; india; chhote traders},{support karenge; support karenge; support karna hai},{0.831; 0.856; 0.846},{0.461; 0.511; 0.486}
350,teri ummeed pe thukraa raha hoon duniya ko tujhe bhi apne pe ye aitbaar hai ki nahin the million dollar question as always soulfully sung,teri:HI ummeed:HI pe:HI thukraa:HI raha:HI hoon:HI duniya:HI ko:HI tujhe:HI bhi:HI apne:HI pe:HI ye:HI aitbaar:HI hai:HI ki:HI nahin:HI the:EN million:EN dollar:EN question:EN as:EN always:EN soulfully:EN sung:EN,{sung; question},{soulfully sung; the million dollar question},{0.877; 0.665},{0.630; 0.556}
